s 是
sgxo 史学
sgxo 水性
sgxq 水箱
sgxr 崧
sgxt 水系
sgxw 瞬息
sgxx 思想
sgxz 赊销
sgy 嵩
sgy/ 蟀
sgyb 山药
sgyc 水源
sgyd 岁月
sgyd 四月
sgye 试管婴儿
sgyf 赡养费
sgyg 山野
sgyg 山崖
sgyh 水运
sgyi 山羊
sgyi 赡养
sgyk 水压
sgyl 嵩
sgyp 手工艺品
sgyt 水印
sgyv 水域
sgyw 山岳
sgyy 睡衣
sgyy 睡意
sgyz 水银
sgzb 水藻
sgzd 四肢
sgzd 事关重大
sgzd 水肿
sgze 水质
sgzg 水中
sgzh 水珠
sgzi 睡着
sgzj 史载
sgzk 睡在
sgzo 水灾
sgzo 山寨
sgzq 水蒸气
sgzt 四周
sgzu 水闸
sgzx 水柱
sgzx 山楂
sgzy 水准
sgzy 水资源
sgzy 山庄
sh 三
sh/ 素
sh/u 素
shad 社会安定
shar 示爱
shbd 三班倒
shbf 三倍
shbg 社会变革
shbj 三八节
shbk 三百
shbq 三部曲
shbr 水火不相容
shbr 三八
shbt 三包
shbx 社会保险
shbz 社会保障
shcb 素菜
shcf 社会财富
shck 寿辰
shcl 善后处理
shcm 收回成命
shcx 素材
shcy 社会成员
shd 示
shda 三点
shdd 神魂颠倒
shdf 三代
shdf 扫黄打非
shdg 三等功
shdj 三等奖
shdk 三大
shdq 三等
shds 三段式
shdv 示
shdw 社会地位
shdy 生活待遇
shdy 疏忽大意
shf 琐
shfb 示范
shff 三伏
shfh 示范户
shfl 社会福利
shfm 三方面
shfp 社会分配
shfq 社会风气
shfr 死灰复燃
shfs 生活方式
shfw 售后服务
shfw 社会服务
shfw 琐
shfy 三方
shfz 社会发展
shg 耜
shg; 耜
shgd 社会公德
shgf 三个
shgg 三国
shgg 深化改革
shgj 社会各界
shgl 社会管理
shgq 深厚感情
shgx 社会关系
shgy 三个月
shgz 善后工作
shh, 三好
shhh 珊瑚
shhj 社会环境
shhl 三环路
shj 寿
shj/ 三级
shjb 三角板
shjc 三江
shjd 三季度
shjf 三件
shjg 三极管
shjj 身怀绝技
shjj 社会经济
shjm 三脚猫
shjn 三届
shjp 三军
shjs 四化建设
shjt 三角
shjv 寿
shjx 三角形
shjy 生活经验
shjz 三角洲
shkn 生活困难
shkx 社会科学
shky 社会科学院
shlb 三菱
shlc 三轮车
shlf 示例
shlg 三连冠
shli 三类
shlj 身怀六甲
shll 伤痕累累
shll 素来
shlp 失魂落魄
shlq 三乱
shmf 寿命
shmu 三门
shmu 素描
shmx 三门峡
shnj 三年级
shnq 三年
shp 瑟
shpi 瑟
shpm 三陪
shpn 三陪女
shqj 神乎其技
shqq 三千
shqs 神乎其神
shqx 生活气息
shrn 示弱
shrs 三日
shsf 素食
shsg 三四
shsh 社会生活
shsi 素数
shsj 三十
shsk 琐碎
shsl 社会生产力
shsm 送货上门
shsn 寿司
shsn 三十年
shsp 生活水平
shss 实话实说
sht 珊
shth 三天
shtj 生活条件
shtt 社会团体
shtt 珊
shw/ 三维
shw; 三万
shwd 社会稳定
shwf 三位
shwg 三围
shwh 社会文化
shwj 四海为家
shwk 示威
shwt 社会问题
shwz 示威者
shxg 三峡
shxj 三星级
shxk 三夏
shxm 寿险
shxn 三弦
shxq 社会需求
shxs 三好学生
shxs 三星
shxs 寿星
shxw 社会新闻
shxx 社会现象
shxy 社会效益
shy; 素雅
shyd 三月
shyf 三亿
shyi 素养
shyj 三亚
shyk 素有
shyl 社会舆论
shyp 生活用品
shyt 示意图
shyy 示意
shz 三
